Registration Timestamp,First Name,Last Name,Preferred Name,Profile ID,Date Of Birth,Age Group,Competition,Account Holder Mobile,Account Holder Email,Parent/Guardian 1 Mobile,Parent/Guardian 2 Mobile
2026-06-20T14:23:55.984+10:00[Australia/Melbourne],Alex,Taylor,Alex Taylor,10000001-0000-4000-8000-000000000001,15/05/2000,,BHRDCA Senior Competition,+61400000001,alex.taylor@example.com,400000002,
2026-06-25T16:52:40.519+10:00[Australia/Melbourne],Jordan,Smith,Jordan,10000001-0000-4000-8000-000000000002,14/05/1994,,BHRDCA Senior Competition,+61400000002,jordan.smith@example.com,,
2026-07-02T15:40:47.143+10:00[Australia/Melbourne],Sam,Wilson,Sam,10000001-0000-4000-8000-000000000003,14/04/2012,U16,BHRDCA Junior Competition,+61400000003,sam.wilson@example.com,400000003,
2026-07-04T20:14:02.623+10:00[Australia/Melbourne],Chris,Morgan,Chris,10000001-0000-4000-8000-000000000004,24/12/2008,U18,BHRDCA Junior Competition,+61400000004,chris.morgan@example.com,400000004,
2026-07-04T20:20:06.816+10:00[Australia/Melbourne],Daniel,Morgan,,10000001-0000-4000-8000-000000000005,10/05/2007,,BHRDCA Senior Competition,+61400000004,daniel.morgan@example.com,400000004,
2026-07-10T19:25:53.696+10:00[Australia/Melbourne],Pat,Davies,Pat,10000001-0000-4000-8000-000000000006,28/09/2001,,BHRDCA Senior Competition,+61400000005,pat.davies@example.com,400000006,
2026-07-13T21:37:36.036+10:00[Australia/Melbourne],Casey,Lee,Casey,10000001-0000-4000-8000-000000000007,16/01/2012,U16,BHRDCA Junior Competition,+61400000007,casey.lee@example.com,400000007,
2026-07-16T19:03:28.92+10:00[Australia/Melbourne],Morgan,Brown,Morgan,10000001-0000-4000-8000-000000000008,17/11/2010,U16,BHRDCA Junior Competition,+61400000008,morgan.brown@example.com,400000008,
2026-07-17T18:19:38.104+10:00[Australia/Melbourne],Riley,Johnson,Riley,10000001-0000-4000-8000-000000000009,15/02/2011,U16,BHRDCA Junior Competition,+61400000009,riley.johnson@example.com,400000009,
2026-07-17T18:21:32.472+10:00[Australia/Melbourne],Jamie,Johnson,Jamie,10000001-0000-4000-8000-000000000010,20/07/2009,U18,BHRDCA Junior Competition,+61400000009,jamie.johnson@example.com,400000009,
2026-07-17T18:29:55.941+10:00[Australia/Melbourne],George,Johnson,George,10000001-0000-4000-8000-000000000011,07/06/1975,,BHRDCA Senior Competition,+61400000009,george.johnson@example.com,,
2026-07-17T18:55:57.26+10:00[Australia/Melbourne],Robin,Clark,,10000001-0000-4000-8000-000000000012,30/03/1980,,BHRDCA Senior Competition,+61400000010,robin.clark@example.com,,
2026-07-17T19:00:32.537+10:00[Australia/Melbourne],Ned,Clark,Ned,10000001-0000-4000-8000-000000000013,14/09/2008,U18,BHRDCA Junior Competition,+61400000010,ned.clark@example.com,400000010,
2026-07-26T17:53:36.411+10:00[Australia/Melbourne],Jesse,Hall,,10000001-0000-4000-8000-000000000014,02/07/2009,,BHRDCA Senior Competition,+61400000011,jesse.hall@example.com,400000011,
2026-07-26T17:55:09.367+10:00[Australia/Melbourne],Terry,Hall,,10000001-0000-4000-8000-000000000015,19/06/1978,,BHRDCA Senior Competition,+61400000011,terry.hall@example.com,,
2026-07-27T11:20:21.215+10:00[Australia/Melbourne],Augustus,White,Gus,10000001-0000-4000-8000-000000000016,11/01/2005,,BHRDCA Senior Competition,+61400000012,gus.white@example.com,400000012,
2026-07-31T20:49:16.516+10:00[Australia/Melbourne],Matthew,Baker,,10000001-0000-4000-8000-000000000017,29/12/1990,,BHRDCA Senior Competition,+61400000013,matthew.baker@example.com,,
2026-07-31T21:59:03.526+10:00[Australia/Melbourne],Jack,Green,Jack,10000001-0000-4000-8000-000000000018,29/06/2012,U16,BHRDCA Junior Competition,+61400000014,jack.green@example.com,400000014,
2026-07-31T22:00:36.417+10:00[Australia/Melbourne],Ethan,Green,Ethan,10000001-0000-4000-8000-000000000019,10/11/2009,,BHRDCA Senior Competition,+61400000014,ethan.green@example.com,400000014,
2026-08-01T18:58:13.093+10:00[Australia/Melbourne],Leo,Harris,Leo,10000001-0000-4000-8000-000000000020,28/10/2004,,BHRDCA Senior Competition,+61400000015,leo.harris@example.com,400000015,
2026-08-02T15:20:35.838+10:00[Australia/Melbourne],Dylan,King,,10000001-0000-4000-8000-000000000021,17/03/2011,U16,BHRDCA Junior Competition,+61400000016,dylan.king@example.com,400000016,
2026-08-02T18:32:17.434+10:00[Australia/Melbourne],Lucas,Wright,Lucas,10000001-0000-4000-8000-000000000022,23/05/2011,U16,BHRDCA Junior Competition,+61400000017,lucas.wright@example.com,400000017,
2026-08-03T08:42:14.631+10:00[Australia/Melbourne],Ben,Scott,Ben,10000001-0000-4000-8000-000000000023,26/10/2011,U16,BHRDCA Junior Competition,+61400000018,ben.scott@example.com,400000018,
2026-08-04T23:05:51.721+10:00[Australia/Melbourne],Drew,Cooper,Drew,10000001-0000-4000-8000-000000000024,14/04/1988,,BHRDCA Senior Competition,+61400000019,drew.cooper@example.com,,
2026-08-06T17:41:01.308+10:00[Australia/Melbourne],Harry,Carter,Harry,10000001-0000-4000-8000-000000000025,10/10/2009,U18,BHRDCA Junior Competition,+61400000020,harry.carter@example.com,400000020,
2026-08-08T22:13:27.289+10:00[Australia/Melbourne],Cameron,Turner,Cameron,10000001-0000-4000-8000-000000000026,13/05/2011,U16,BHRDCA Junior Competition,+61400000021,cameron.turner@example.com,400000021,400000022
